code,description
10.82,"Производство какао, шоколада и сахаристых кондитерских изделий."
10.82.1,"Производство какао, масла какао, жира какао, растительного масла какао, порошка какао                                                                                                                                                                                                                                                                                                                                                                                                                               "
10.82.2,Производство шоколада и сахаристых кондитерских изделий.
10.82.3,Производство кондитерских изделий из сахара.
10.82.4,Производство жевательной резинки.
10.82.5,"Производство засахаренных фруктов, орехов, цукатов из кожуры и прочих частей растений."
10.82.6,Производство кондитерских леденцов и пастилок.
10.83,Производство чая и кофе.
10.84,Производство приправ и пряностей.
10.85,Производство готовых пищевых продуктов и блюд.
10.86,Производство детского питания и диетических пищевых продуктов.
10.86.1,Производство молока и молочных продуктов для детского питания.
10.86.11,Производство молока и молочных продуктов для детей раннего возраста                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10.86.12,Производство молока и молочных продуктов для детей дошкольного и школьного возраста.
10.86.2,Производство соковой продукции из фруктов и овощей для детского питания                                                                                                                                                                                                                                                                                                                                                                                                                                             
10.86.3,"Производство мясной продукции для детского питания, в том числе из мяса птицы."
10.86.4,Производство продуктов на злаковой основе для детского питания                                                                                                                                                                                                                                                                                                                                                                                                                                                      
10.86.5,Производство продуктов детского питания профилактического и лечебного назначения.
10.86.6,"Производство специализированной пищевой продукции, в том числе диетических пищевых продуктов."
10.86.61,Производство пищевой продукции диетического и диабетического питания                                                                                                                                                                                                                                                                                                                                                                                                                                                
10.86.62,Производство пищевой продукции для питания спортсменов.
10.86.63,Производство пищевой продукции для питания беременных и кормящих женщин                                                                                                                                                                                                                                                                                                                                                                                                                                             
10.86.64,Производство пищевой продукции энтерального питания                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10.86.69,Производство прочих диетических пищевых продуктов.
10.86.7,"Производство воды питьевой, напитков безалкогольных для детского питания."
10.86.8,Производство рыбной продукции для детского питания                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10.86.9,Производство хлебобулочных и кондитерских изделий для детского питания.
10.89,"Производство прочих пищевых продуктов, не включенных в другие группировки."
10.89.1,Производство супов и бульонов.
10.89.2,"Производство скоропортящихся продуктов, таких как: сэндвичи и свежая пицца (полуфабрикат)."
10.89.3,"Производство растительных соков и экстрактов, пептических веществ, растительных клеев и загустителей."
10.89.4,Производство пищевых ферментов.
10.89.5,Производство искусственного меда и карамели.
10.89.6,"Переработка меда (темперирование, фильтрация, декристаллизация и смешивание меда)."
10.89.7,Производство рационов питания и пайков.
10.89.8,Производство биологически активных добавок к пище.
10.89.9,"Производство прочих продуктов питания, не включенных в другие группировки."
10.9,Производство готовых кормов для животных.
10.91,"Производство готовых кормов для животных, содержащихся на фермах."
10.91.1,"Производство готовых кормов (смешанных и несмешанных), кроме муки и гранул из люцерны, для животных, содержащихся на фермах"
10.91.2,Производство муки грубого помола и гранул из люцерны.
10.91.3,"Производство кормового микробиологического белка, премиксов, кормовых витаминов, антибиотиков, аминокислот и ферментов."
10.92,Производство готовых кормов для непродуктивных животных.
11,Производство напитков                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
11.0,Производство напитков.
11.01,"Перегонка, очистка и смешивание спиртов."
11.01.1,"Производство дистиллированных питьевых алкогольных напитков: водки, виски, бренди, джина, ликеров и т. п.."
11.01.2,"Производство напитков, смешанных с дистиллированными алкогольными напитками                                                                                                                                                                                                                                                                                                                                                                                                                                         "
11.01.3,Смешивание дистиллированных спиртов                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
11.01.4,Производство пищевого спирта.
11.02,Производство вина из винограда.
11.03,Производство сидра и прочих плодовых вин.
11.04,Производство прочих недистиллированных напитков из сброженных материалов.
11.05,Производство пива.
11.06,Производство солода.
11.07,"Производство безалкогольных напитков; производство упакованных питьевых вод, включая минеральные воды.."
11.07.1,"Производство упакованных питьевых вод, включая минеральные воды."
11.07.12,Производство упакованных природных питьевых вод.
11.07.13,Производство упакованных обработанных питьевых вод.
11.07.2,"Производство безалкогольных напитков ароматизированных и/или с добавлением сахара, кроме минеральных вод."
12,Производство табачных изделий                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
12.0,Производство табачных изделий                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
12.00,Производство табачных изделий
12.00.1,"Производство изделий из табака и махорки: сигарет, папирос, сигар, сигарилл, курительного тонкорезаного табака, трубочного табака, жевательного табака, сосательного табака, нюхательного табака, табака для кальяна, курительной и нюхательной махорки."
12.00.2,Производство гомогенизированного или восстановленного табака                                                                                                                                                                                                                                                                                                                                                                                                                                                        
12.00.3,Стрипсование (удаление главной жилки) и редраинг-обработка табака                                                                                                                                                                                                                                                                                                                                                                                                                                                   
13,Производство текстильных изделий                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
13.1,Подготовка и прядение текстильных волокон.
13.10,Подготовка и прядение текстильных волокон.
13.10.1,Прядение хлопчатобумажных волокон.
13.10.2,Прядение кардное шерстяных волокон.
13.10.3,Прядение гребенное шерстяных волокон.
13.10.4,Прядение льняных волокон.
13.10.5,"Изготовление натуральных шелковых, искусственных и синтетических волокон."
13.10.6,Производство швейных ниток.
13.10.9,Подготовка и прядение прочих текстильных волокон.
13.2,Производство текстильных тканей.
13.20,Производство текстильных тканей.
13.20.1,"Производство тканей (без специальных тканей) из натуральных волокон, кроме хлопка                                                                                                                                                                                                                                                                                                                                                                                                                                   "
13.20.11,Производство шелковых тканей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
13.20.12,Производство шерстяных тканей.
13.20.13,Производство льняных тканей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
13.20.14,Производство тканей из джутовых и прочих лубяных текстильных волокон.
13.20.19,Производство ткани из прочих растительных текстильных волокон; ткани из бумажной пряжи                                                                                                                                                                                                                                                                                                                                                                                                                              
13.20.2,Производство хлопчатобумажных тканей.
13.20.3,"Производство тканей, за исключением специальных тканей, из химических комплексных нитей и штапельных волокон."
13.20.4,"Производство ворсовых, махровых полотенечных тканей и прочих специальных тканей."
13.20.41,Производство ворсовых тканей и ткани из синели.
13.20.42,Производство хлопчатобумажных махровых полотенечных тканей                                                                                                                                                                                                                                                                                                                                                                                                                                                          
13.20.43,Производство прочих махровых полотенечных и аналогичных махровых тканей                                                                                                                                                                                                                                                                                                                                                                                                                                             
13.20.44,Производство марли                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
13.20.45,Производство ворсовых тканей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
13.20.46,Производство тканей из стекловолокна                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
13.20.5,Производство искусственного меха ткацким способом.
13.20.6,Производство арамидных нитей и волокна                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
13.3,Отделка тканей и текстильных изделий.
13.30,Отделка тканей и текстильных изделий.
13.30.1,"Отбеливание и окрашивание текстиля, волокон, тканей и текстильных изделий, включая готовую одежду                                                                                                                                                                                                                                                                                                                                                                                                                   "
13.30.2,"Аппретирование, сушка, обработка паром, декатировка, противоусадочная отделка, смягчение тканей и текстильных изделий, включая готовую одежду                                                                                                                                                                                                                                                                                                                                                                       "
13.30.3,Плиссировка и подобные работы на текстильных материалах                                                                                                                                                                                                                                                                                                                                                                                                                                                             
13.30.4,"Нанесение водозащитного слоя, специальных покрытий, прорезинивание, пропитка приобретенной одежды."
13.30.5,Нанесение рисунка на текстильные изделия и готовую одежду.
13.9,Производство прочих текстильных изделий.
13.91,Производство трикотажного и вязаного полотна.
13.91.1,Производство и обработка трикотажного или вязаного полотна.
13.91.2,Производство искусственного меха методом вязания.
13.92,"Производство готовых текстильных изделий, кроме одежды."
13.92.1,"Производство готовых текстильных изделий, кроме одежды."
13.92.2,"Пошив готовых текстильных изделий по индивидуальному заказу населения, кроме одежды."
13.93,Производство ковров и ковровых изделий.
13.94,"Производство канатов, веревок, шпагата и сетей."
13.94.1,"Производство шпагата, канатов, веревок и тросов из текстильных волокон и лент, с пропиткой и без пропитки, с покрытием, защищенных или не защищенных оболочкой из резины или пластмассы."
13.94.2,"Производство изделий из веревки и сетного полотна: рыболовных сетей, предохранительных сеток на судах, защитных средств, используемых при погрузочно-разгрузочных работах, стропов, веревок или тросов с металлическими кольцами."
13.95,"Производство нетканых текстильных материалов и изделий из них, кроме одежды."
13.96,Производство прочих технических и промышленных текстильных изделий.
13.96.1,Производство металлизированной пряжи или металлизированной позументной тесьмы                                                                                                                                                                                                                                                                                                                                                                                                                                       
13.96.2,Производство ткани из металлической нити и ткани из металлизированной пряжи                                                                                                                                                                                                                                                                                                                                                                                                                                         
13.96.3,"Производство резиновых нитей и шнуров с текстильным покрытием; производство текстильных нитей и лент, пропитанных или с пластмассовым или резиновым покрытием                                                                                                                                                                                                                                                                                                                                                       "
13.96.4,"Производство текстильных материалов, пропитанных или с покрытием."
13.96.5,Производство кордных тканей                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
13.96.6,"Производство текстильных материалов и изделий технического назначения (включая фитили, калильные сетки газовых фонарей, текстильные шланги, конвейерные ленты и приводные ремни, ситовые ткани и фильтровальные ткани)                                                                                                                                                                                                                                                                                              "
13.96.7,"Производство узких текстильных тканей, в том числе состоящих из основы безуточного переплетения и соединяемых клеящим веществом                                                                                                                                                                                                                                                                                                                                                                                     "
13.99,"Производство прочих текстильных изделий, не включенных в другие группировки."
13.99.1,"Производство кружевного сетчатого и гардинно-тюлевого полотна, а также кружев и вышитых изделий, в кусках, в форме полос или отдельных вышивок."
13.99.2,Производство фетра и войлока.
13.99.3,Производство ваты из текстильных материалов                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
13.99.4,"Изготовление прочих текстильных изделий по индивидуальному заказу населения, не включенных в другие группировки."
13.99.9,"Производство текстильных изделий различного назначения, не включенных в другие группировки."
14,Производство одежды.
14.1,"Производство одежды, кроме одежды из меха."
14.11,Производство одежды из кожи.
14.11.1,"Производство одежды из кожи, кроме изготовленных по индивидуальному заказу."
14.11.2,Пошив одежды из кожи по индивидуальному заказу населения.
14.12,Производство спецодежды
14.12.1,"Производство спецодежды, кроме изготовленных по индивидуальному заказу."
14.12.2,Пошив производственной одежды по индивидуальному заказу населения.
14.13,Производство прочей верхней одежды.
14.13.1,Производство верхней трикотажной или вязаной одежды.
14.13.11,Производство верхней трикотажной или вязаной одежды для мужчин или мальчиков.
14.13.12,Производство верхней трикотажной или вязаной одежды для женщин или девочек.
14.13.2,"Производство верхней одежды из текстильных материалов, кроме трикотажных или вязаных."
14.13.21,"Производство верхней одежды из текстильных материалов, кроме трикотажных или вязаных, для мужчин или мальчиков."
14.13.22,"Производство верхней одежды из текстильных материалов, кроме трикотажных или вязаных, для женщин или девочек."
14.13.3,Пошив и вязание прочей верхней одежды по индивидуальному заказу населения.
14.14,Производство нательного белья.
14.14.1,Производство трикотажного и вязаного нательного белья.
14.14.11,Производство трикотажных или вязаных рубашек для мужчин или для мальчиков.
14.14.12,Производство маек и прочего трикотажного или вязаного нательного белья для мужчин или мальчиков.
14.14.13,"Производство трикотажных или вязаных блузок, рубашек и батников для женщин или для девочек."
14.14.14,Производство маек и прочего трикотажного или вязаного нательного белья для женщин или для девочек.
14.14.2,Производство нательного белья из тканей.
14.14.21,"Производство рубашек из текстильных материалов, кроме трикотажных или вязаных, для мужчин или для мальчиков."
14.14.22,"Производство маек и прочего нательного белья из текстильных материалов, кроме трикотажных или вязаных, для мужчин или для мальчиков                                                                                                                                                                                                                                                                                                                                                                                 "
14.14.23,"Производство блузок, рубашек и батников из текстильных материалов, кроме трикотажных или вязаных, для женщин или для девочек."
14.14.24,"Производство маек и прочего нательного белья из текстильных материалов, кроме трикотажных или вязаных, для женщин или для девочек."
14.14.25,"Производство бюстгальтеров, поясов, корсетов и аналогичных изделий, и их частей из любого текстильного материала, включая трикотажные или вязаные."
14.14.3,"Производство трикотажных или вязаных футболок, маек и прочих нижних рубашек."
14.14.4,Пошив нательного белья по индивидуальному заказу населения.
14.19,Производство прочей одежды и аксессуаров одежды.
14.19.1,"Производство трикотажной или вязаной одежды для детей младшего возраста, спортивной или прочей одежды, аксессуаров и деталей одежды."
14.19.11,Производство трикотажных или вязаных одежды и аксессуаров одежды для детей младшего возраста.
14.19.12,"Производство спортивных костюмов, лыжных костюмов, купальных костюмов и прочей трикотажной или вязаной одежды."
14.19.13,"Производство трикотажных или вязаных перчаток, рукавиц (варежек) и митенок."
14.19.19,"Производство прочих трикотажных или вязаных аксессуаров одежды, в том числе платков, шарфов, галстуков и прочих аналогичных изделий."
14.19.2,"Производство одежды для детей младшего возраста, спортивной или прочей одежды и аксессуаров одежды из текстильных материалов, кроме трикотажных или вязаных."
14.19.21,"Производство одежды и аксессуаров одежды для детей младшего возраста из текстильных материалов, кроме трикотажных или вязаных."
14.19.22,"Производство спортивных костюмов, лыжных костюмов, купальных костюмов и прочей одежды из текстильных материалов, кроме трикотажных или вязаных."
14.19.23,"Производство аксессуаров одежды, в том числе платков, шарфов, галстуков, перчаток и прочих аналогичных изделий из текстильных материалов, кроме трикотажных или вязаных."
14.19.3,Производство аксессуаров одежды из кожи; производство одежды из фетра или нетканых материалов; производство одежды из текстильных материалов с покрытием.
14.19.31,Производство аксессуаров одежды из натуральной или композиционной кожи.
14.19.32,"Производство одежды из фетра, нетканых материалов, из текстильных материалов с пропиткой или покрытием."
14.19.4,Производство головных уборов.
14.19.5,"Пошив и вязание прочей одежды и аксессуаров одежды, головных уборов по индивидуальному заказу населения."
14.2,Производство меховых изделий.
14.20,Производство меховых изделий.
14.20.1,"Производство меховых изделий, кроме изготовленных по индивидуальному заказу."
14.20.2,Пошив меховых изделий по индивидуальному заказу населения.
14.3,Производство вязаных и трикотажных изделий одежды.
14.31,Производство вязаных и трикотажных чулочно-носочных изделий.
14.31.1,"Производство вязаных и трикотажных чулочно-носочных изделий, кроме изготовленных по индивидуальному заказу."
14.31.2,Изготовление вязаных и трикотажных чулочно-носочных изделий по индивидуальному заказу населения.
14.39,Производство прочих вязаных и трикотажных изделий.
14.39.1,"Производство прочих вязаных и трикотажных изделий, не включенных в другие группировки."
14.39.2,"Изготовление прочих вязаных и трикотажных изделий, не включенных в другие группировки по индивидуальному заказу населения."
15,Производство кожи и изделий из кожи                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
15.1,"Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха."
15.11,"Дубление и выделка кожи, выделка и крашение меха."
15.11.1,Выделка и крашение меха.
15.11.2,"Производство замши, пергаментной кожи, лакированной и металлизированной кожи."
15.11.3,"Дубление, выделка и крашение кожи из шкур крупного рогатого скота или животных семейства лошадиных."
15.11.4,"Дубление, выделка и крашение кожи из шкур овец, коз и свиней."
15.11.5,"Дубление, выделка и крашение кожи из шкур прочих животных, производство композиционной кожи                                                                                                                                                                                                                                                                                                                                                                                                                         "
15.11.51,"Дубление, выделка и крашение кожи из шкур прочих животных                                                                                                                                                                                                                                                                                                                                                                                                                                                           "
15.11.52,Производство композиционной кожи.
15.12,"Производство чемоданов, дамских сумок и аналогичных изделий из кожи и других материалов; производство шорно-седельных и других изделий из кожи."
15.2,Производство обуви.
15.20,Производство обуви.
15.20.1,"Производство обуви, кроме спортивной, защитной и ортопедической."
15.20.11,Производство водонепроницаемой обуви с верхом из резины или пластмассы                                                                                                                                                                                                                                                                                                                                                                                                                                              
